name,ancestors
Animalia,['Animalia']
Insecta,"['Insecta', 'Animalia']"
Hymenoptera,"['Hymenoptera', 'Insecta', 'Animalia']"
Lepidoptera,"['Lepidoptera', 'Insecta', 'Animalia']"
Diptera,"['Diptera', 'Insecta', 'Animalia']"
Gastropoda,"['Gastropoda', 'Animalia']"
Geometridae,"['Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Hemiptera,"['Hemiptera', 'Insecta', 'Animalia']"
Crambidae,"['Crambidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Arachnida,"['Arachnida', 'Animalia']"
Opiliones,"['Opiliones', 'Arachnida', 'Animalia']"
Tortricidae,"['Tortricidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Coleoptera,"['Coleoptera', 'Insecta', 'Animalia']"
Chironomidae,"['Chironomidae', 'Diptera', 'Insecta', 'Animalia']"
Ichneumonidae,"['Ichneumonidae', 'Hymenoptera', 'Insecta', 'Animalia']"
Araneae,"['Araneae', 'Arachnida', 'Animalia']"
Tipulidae,"['Tipulidae', 'Diptera', 'Insecta', 'Animalia']"
Psychodidae,"['Psychodidae', 'Diptera', 'Insecta', 'Animalia']"
Chrysomelidae,"['Chrysomelidae', 'Coleoptera', 'Insecta', 'Animalia']"
Trichoptera,"['Trichoptera', 'Insecta', 'Animalia']"
Plutellidae,"['Plutellidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Notonectidae,"['Notonectidae', 'Hemiptera', 'Insecta', 'Animalia']"
Noctuidae,"['Noctuidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Aphididae,"['Aphididae', 'Hemiptera', 'Insecta', 'Animalia']"
Formicidae,"['Formicidae', 'Hymenoptera', 'Insecta', 'Animalia']"
Pyralidae,"['Pyralidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Arctiidae,"['Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Limoniidae,"['Limoniidae', 'Diptera', 'Insecta', 'Animalia']"
Agapeta,"['Agapeta', 'Tortricidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Agapeta hamana,"['Agapeta hamana', 'Agapeta', 'Tortricidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Spilosoma,"['Spilosoma', 'Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Spilosoma urticae,"['Spilosoma urticae', 'Spilosoma', 'Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Idaea,"['Idaea', 'Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Yponomeutidae,"['Yponomeutidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Yponomeuta,"['Yponomeuta', 'Yponomeutidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Carabidae,"['Carabidae', 'Coleoptera', 'Insecta', 'Animalia']"
Curculionidae,"['Curculionidae', 'Coleoptera', 'Insecta', 'Animalia']"
Cantharidae,"['Cantharidae', 'Coleoptera', 'Insecta', 'Animalia']"
Coccinellidae,"['Coccinellidae', 'Coleoptera', 'Insecta', 'Animalia']"
Staphylinidae,"['Staphylinidae', 'Coleoptera', 'Insecta', 'Animalia']"
Corixidae,"['Corixidae', 'Hemiptera', 'Insecta', 'Animalia']"
Cicadellidae,"['Cicadellidae', 'Hemiptera', 'Insecta', 'Animalia']"
Cercopidae,"['Cercopidae', 'Hemiptera', 'Insecta', 'Animalia']"
Erebidae,"['Erebidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Entognatha,"['Entognatha', 'Animalia']"
Collembola,"['Collembola', 'Entognatha', 'Animalia']"
Tomoceridae,"['Tomoceridae', 'Collembola', 'Entognatha', 'Animalia']"
Hydroptilidae,"['Hydroptilidae', 'Trichoptera', 'Insecta', 'Animalia']"
Asilidae,"['Asilidae', 'Diptera', 'Insecta', 'Animalia']"
Cecidomyiidae,"['Cecidomyiidae', 'Diptera', 'Insecta', 'Animalia']"
Culicidae,"['Culicidae', 'Diptera', 'Insecta', 'Animalia']"
Empididae,"['Empididae', 'Diptera', 'Insecta', 'Animalia']"
Sarcophagidae,"['Sarcophagidae', 'Diptera', 'Insecta', 'Animalia']"
Tachinidae,"['Tachinidae', 'Diptera', 'Insecta', 'Animalia']"
Syrphidae,"['Syrphidae', 'Diptera', 'Insecta', 'Animalia']"
Sepsidae,"['Sepsidae', 'Diptera', 'Insecta', 'Animalia']"
Auchenorrhyncha indet.,"['Auchenorrhyncha indet.', 'Hemiptera', 'Insecta', 'Animalia']"
Chrysoteuchia,"['Chrysoteuchia', 'Crambidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Chrysoteuchia culmella,"['Chrysoteuchia culmella', 'Chrysoteuchia', 'Crambidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Miridae,"['Miridae', 'Hemiptera', 'Insecta', 'Animalia']"
Ephemeroptera,"['Ephemeroptera', 'Insecta', 'Animalia']"
Baetidae,"['Baetidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
Dermaptera,"['Dermaptera', 'Insecta', 'Animalia']"
Rivula,"['Rivula', 'Noctuidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Rivula sericealis,"['Rivula sericealis', 'Rivula', 'Noctuidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
Cyclophora,"['Cyclophora', 'Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Hepialidae,"['Hepialidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Triodia,"['Triodia', 'Hepialidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Triodia sylvina,"['Triodia sylvina', 'Triodia', 'Hepialidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Synaphe,"['Synaphe', 'Pyralidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Synaphe punctalis,"['Synaphe punctalis', 'Synaphe', 'Pyralidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Neuroptera,"['Neuroptera', 'Insecta', 'Animalia']"
Chrysopidae,"['Chrysopidae', 'Neuroptera', 'Insecta', 'Animalia']"
Anisopodidae,"['Anisopodidae', 'Diptera', 'Insecta', 'Animalia']"
Ceratopogonidae,"['Ceratopogonidae', 'Diptera', 'Insecta', 'Animalia']"
Eilema,"['Eilema', 'Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Orthoptera,"['Orthoptera', 'Insecta', 'Animalia']"
Acrididae,"['Acrididae', 'Orthoptera', 'Insecta', 'Animalia']"
Leptoceridae,"['Leptoceridae', 'Trichoptera', 'Insecta', 'Animalia']"
Pterophoridae,"['Pterophoridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Sciaridae,"['Sciaridae', 'Diptera', 'Insecta', 'Animalia']"
Fanniidae,"['Fanniidae', 'Diptera', 'Insecta', 'Animalia']"
Coleophoridae,"['Coleophoridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Fannia,"['Fannia', 'Fanniidae', 'Diptera', 'Insecta', 'Animalia']"
Psocodea,"['Psocodea', 'Insecta', 'Animalia']"
Stratiomyidae,"['Stratiomyidae', 'Diptera', 'Insecta', 'Animalia']"
Pyrausta,"['Pyrausta', 'Crambidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Nepticulidae,"['Nepticulidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Gelechiidae,"['Gelechiidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Lomaspilis,"['Lomaspilis', 'Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Mycetophilidae,"['Mycetophilidae', 'Diptera', 'Insecta', 'Animalia']"
Lomaspilis marginata,"['Lomaspilis marginata', 'Lomaspilis', 'Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Notodontidae,"['Notodontidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Tettigoniidae,"['Tettigoniidae', 'Orthoptera', 'Insecta', 'Animalia']"
Cabera,"['Cabera', 'Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Cabera exanthemata,"['Cabera exanthemata', 'Cabera', 'Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Leptophyes,"['Leptophyes', 'Tettigoniidae', 'Orthoptera', 'Insecta', 'Animalia']"
Leptophyes punctatissima,"['Leptophyes punctatissima', 'Leptophyes', 'Tettigoniidae', 'Orthoptera', 'Insecta', 'Animalia']"
Ennomos,"['Ennomos', 'Geometridae', 'Lepidoptera', 'Insecta', 'Animalia']"
Mecoptera,"['Mecoptera', 'Insecta', 'Animalia']"
Panorpidae,"['Panorpidae', 'Mecoptera', 'Insecta', 'Animalia']"
Panorpa,"['Panorpa', 'Panorpidae', 'Mecoptera', 'Insecta', 'Animalia']"
Panorpa vulgaris,"['Panorpa vulgaris', 'Panorpa', 'Panorpidae', 'Mecoptera', 'Insecta', 'Animalia']"
Hypena,"['Hypena', 'Erebidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Hypena proboscidalis,"['Hypena proboscidalis', 'Hypena', 'Erebidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Apidae,"['Apidae', 'Hymenoptera', 'Insecta', 'Animalia']"
Myathropa,"['Myathropa', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']"
Myathropa florea,"['Myathropa florea', 'Myathropa', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']"
Parasitica indet.,"['Parasitica indet.', 'Hymenoptera', 'Insecta', 'Animalia']"
Arctia,"['Arctia', 'Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Arctia caja,"['Arctia caja', 'Arctia', 'Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Helophilus,"['Helophilus', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']"
Panorpa germanica,"['Panorpa germanica', 'Panorpa', 'Panorpidae', 'Mecoptera', 'Insecta', 'Animalia']"
Eristalis,"['Eristalis', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']"
Tholera,"['Tholera', 'Noctuidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Tholera decimalis,"['Tholera decimalis', 'Tholera', 'Noctuidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Notodonta,"['Notodonta', 'Notodontidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Notodonta dromedarius,"['Notodonta dromedarius', 'Notodonta', 'Notodontidae', 'Lepidoptera', 'Insecta', 'Animalia']"
Melanostoma,"['Melanostoma', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']"
No Animalia,['No Animalia']
